    x1     x2    f(x1, x2)
 -1.00  -1.00   0.00000000

 -0.97  -1.00   0.00000000

 -0.94  -1.00   0.00000000

 -0.90  -1.00   0.00000000

 -0.87  -1.00   0.00000000

 -0.84  -1.00   0.00000000

 -0.81  -1.00   0.00000000

 -0.78  -1.00   0.00000000

 -0.75  -1.00   0.00000000

 -0.71  -1.00   0.00000000

 -0.68  -1.00   0.00000000

 -0.65  -1.00   0.00000000

 -0.62  -1.00   0.00000000

 -0.59  -1.00   0.00000000

 -0.56  -1.00   0.00000000

 -0.52  -1.00   0.00000000

 -0.49  -1.00   0.00000000

 -0.46  -1.00   0.00000000

 -0.43  -1.00   0.00000000

 -0.40  -1.00   0.00000000

 -0.37  -1.00   0.00000000

 -0.33  -1.00   0.00000000

 -0.30  -1.00   0.00000000

 -0.27  -1.00   0.00000000

 -0.24  -1.00   0.00000000

 -0.21  -1.00   0.00000000

 -0.17  -1.00   0.00000000

 -0.14  -1.00   0.00000000

 -0.11  -1.00   0.00000000

 -0.08  -1.00   0.00000000

 -0.05  -1.00   0.00000000

 -0.02  -1.00   0.00000000

  0.02  -1.00   0.00000000

  0.05  -1.00   0.00000000

  0.08  -1.00   0.00000000

  0.11  -1.00   0.00000000

  0.14  -1.00   0.00000000

  0.17  -1.00   0.00000000

  0.21  -1.00   0.00000000

  0.24  -1.00   0.00000000

  0.27  -1.00   0.00000000

  0.30  -1.00   0.00000000

  0.33  -1.00   0.00000000

  0.37  -1.00   0.00000000

  0.40  -1.00   0.00000000

  0.43  -1.00   0.00000000

  0.46  -1.00   0.00000000

  0.49  -1.00   0.00000000

  0.52  -1.00   0.00000000

  0.56  -1.00   0.00000000

  0.59  -1.00   0.00000000

  0.62  -1.00   0.00000000

  0.65  -1.00   0.00000000

  0.68  -1.00   0.00000000

  0.71  -1.00   0.00000000

  0.75  -1.00   0.00000000

  0.78  -1.00   0.00000000

  0.81  -1.00   0.00000000

  0.84  -1.00   0.00000000

  0.87  -1.00   0.00000000

  0.90  -1.00   0.00000000

  0.94  -1.00   0.00000000

  0.97  -1.00   0.00000000

  1.00  -1.00   0.00000000

 -1.00  -0.97   0.00000000

 -0.97  -0.97   0.00000000

 -0.94  -0.97   0.00000000

 -0.90  -0.97   0.00000000

 -0.87  -0.97   0.00000000

 -0.84  -0.97   0.00000000

 -0.81  -0.97   0.00000000

 -0.78  -0.97   0.00000000

 -0.75  -0.97   0.00000000

 -0.71  -0.97   0.00000000

 -0.68  -0.97   0.00000000

 -0.65  -0.97   0.00000000

 -0.62  -0.97   0.00000000

 -0.59  -0.97   0.00000000

 -0.56  -0.97   0.00000000

 -0.52  -0.97   0.00000000

 -0.49  -0.97   0.00000000

 -0.46  -0.97   0.00000000

 -0.43  -0.97   0.00000000

 -0.40  -0.97   0.00000000

 -0.37  -0.97   0.00000000

 -0.33  -0.97   0.00000000

 -0.30  -0.97   0.00000000

 -0.27  -0.97   0.00000000

 -0.24  -0.97   0.00000000

 -0.21  -0.97   0.00000000

 -0.17  -0.97   0.00000000

 -0.14  -0.97   0.00000000

 -0.11  -0.97   0.00000000

 -0.08  -0.97   0.00000000

 -0.05  -0.97   0.00000000

 -0.02  -0.97   0.00000000

  0.02  -0.97   0.00000000

  0.05  -0.97   0.00000000

  0.08  -0.97   0.00000000

  0.11  -0.97   0.00000000

  0.14  -0.97   0.00000000

  0.17  -0.97   0.00000000

  0.21  -0.97   0.00000000

  0.24  -0.97   0.00000000

  0.27  -0.97   0.00000000

  0.30  -0.97   0.00000000

  0.33  -0.97   0.00000000

  0.37  -0.97   0.00000000

  0.40  -0.97   0.00000000

  0.43  -0.97   0.00000000

  0.46  -0.97   0.00000000

  0.49  -0.97   0.00000000

  0.52  -0.97   0.00000000

  0.56  -0.97   0.00000000

  0.59  -0.97   0.00000000

  0.62  -0.97   0.00000000

  0.65  -0.97   0.00000000

  0.68  -0.97   0.00000000

  0.71  -0.97   0.00000000

  0.75  -0.97   0.00000000

  0.78  -0.97   0.00000000

  0.81  -0.97   0.00000000

  0.84  -0.97   0.00000000

  0.87  -0.97   0.00000000

  0.90  -0.97   0.00000000

  0.94  -0.97   0.00000000

  0.97  -0.97   0.00000000

  1.00  -0.97   0.00000000

 -1.00  -0.94   0.00000000

 -0.97  -0.94   0.00000000

 -0.94  -0.94   0.00000000

 -0.90  -0.94   0.00000000

 -0.87  -0.94   0.00000000

 -0.84  -0.94   0.00000000

 -0.81  -0.94   0.00000000

 -0.78  -0.94   0.00000000

 -0.75  -0.94   0.00000000

 -0.71  -0.94   0.00000000

 -0.68  -0.94   0.00000000

 -0.65  -0.94   0.00000000

 -0.62  -0.94   0.00000000

 -0.59  -0.94   0.00000000

 -0.56  -0.94   0.00000000

 -0.52  -0.94   0.00000000

 -0.49  -0.94   0.00000000

 -0.46  -0.94   0.00000000

 -0.43  -0.94   0.00000000

 -0.40  -0.94   0.00000000

 -0.37  -0.94   0.00000000

 -0.33  -0.94   0.00000000

 -0.30  -0.94   0.00000000

 -0.27  -0.94   0.00000000

 -0.24  -0.94   0.00000000

 -0.21  -0.94   0.00000000

 -0.17  -0.94   0.00000000

 -0.14  -0.94   0.00000000

 -0.11  -0.94   0.00000000

 -0.08  -0.94   0.00000000

 -0.05  -0.94   0.00000000

 -0.02  -0.94   0.00000000

  0.02  -0.94   0.00000000

  0.05  -0.94   0.00000000

  0.08  -0.94   0.00000000

  0.11  -0.94   0.00000000

  0.14  -0.94   0.00000000

  0.17  -0.94   0.00000000

  0.21  -0.94   0.00000000

  0.24  -0.94   0.00000000

  0.27  -0.94   0.00000000

  0.30  -0.94   0.00000000

  0.33  -0.94   0.00000000

  0.37  -0.94   0.00000000

  0.40  -0.94   0.00000000

  0.43  -0.94   0.00000000

  0.46  -0.94   0.00000000

  0.49  -0.94   0.00000000

  0.52  -0.94   0.00000000

  0.56  -0.94   0.00000000

  0.59  -0.94   0.00000000

  0.62  -0.94   0.00000000

  0.65  -0.94   0.00000000

  0.68  -0.94   0.00000000

  0.71  -0.94   0.00000000

  0.75  -0.94   0.00000000

  0.78  -0.94   0.00000000

  0.81  -0.94   0.00000000

  0.84  -0.94   0.00000000

  0.87  -0.94   0.00000000

  0.90  -0.94   0.00000000

  0.94  -0.94   0.00000000

  0.97  -0.94   0.00000000

  1.00  -0.94   0.00000000

 -1.00  -0.90   0.00000000

 -0.97  -0.90   0.00000000

 -0.94  -0.90   0.00000000

 -0.90  -0.90   0.00000000

 -0.87  -0.90   0.00000000

 -0.84  -0.90   0.00000000

 -0.81  -0.90   0.00000000

 -0.78  -0.90   0.00000000

 -0.75  -0.90   0.00000000

 -0.71  -0.90   0.00000000

 -0.68  -0.90   0.00000000

 -0.65  -0.90   0.00000000

 -0.62  -0.90   0.00000000

 -0.59  -0.90   0.00000000

 -0.56  -0.90   0.00000000

 -0.52  -0.90   0.00000000

 -0.49  -0.90   0.00000000

 -0.46  -0.90   0.00000000

 -0.43  -0.90   0.00000000

 -0.40  -0.90   0.00000000

 -0.37  -0.90   0.00000000

 -0.33  -0.90   0.00000000

 -0.30  -0.90   0.00000000

 -0.27  -0.90   0.00000000

 -0.24  -0.90   0.00000000

 -0.21  -0.90   0.00000000

 -0.17  -0.90   0.00000000

 -0.14  -0.90   0.00000000

 -0.11  -0.90   0.00000000

 -0.08  -0.90   0.00000000

 -0.05  -0.90   0.00000000

 -0.02  -0.90   0.00000000

  0.02  -0.90   0.00000000

  0.05  -0.90   0.00000000

  0.08  -0.90   0.00000000

  0.11  -0.90   0.00000000

  0.14  -0.90   0.00000000

  0.17  -0.90   0.00000000

  0.21  -0.90   0.00000000

  0.24  -0.90   0.00000000

  0.27  -0.90   0.00000000

  0.30  -0.90   0.00000000

  0.33  -0.90   0.00000000

  0.37  -0.90   0.00000000

  0.40  -0.90   0.00000000

  0.43  -0.90   0.00000000

  0.46  -0.90   0.00000000

  0.49  -0.90   0.00000000

  0.52  -0.90   0.00000000

  0.56  -0.90   0.00000000

  0.59  -0.90   0.00000000

  0.62  -0.90   0.00000000

  0.65  -0.90   0.00000000

  0.68  -0.90   0.00000000

  0.71  -0.90   0.00000000

  0.75  -0.90   0.00000000

  0.78  -0.90   0.00000000

  0.81  -0.90   0.00000000

  0.84  -0.90   0.00000000

  0.87  -0.90   0.00000000

  0.90  -0.90   0.00000000

  0.94  -0.90   0.00000000

  0.97  -0.90   0.00000000

  1.00  -0.90   0.00000000

 -1.00  -0.87   0.00000000

 -0.97  -0.87   0.00000000

 -0.94  -0.87   0.00000000

 -0.90  -0.87   0.00000000

 -0.87  -0.87   0.00000000

 -0.84  -0.87   0.00000000

 -0.81  -0.87   0.00000000

 -0.78  -0.87   0.00000000

 -0.75  -0.87   0.00000000

 -0.71  -0.87   0.00000000

 -0.68  -0.87   0.00000000

 -0.65  -0.87   0.00000000

 -0.62  -0.87   0.00000000

 -0.59  -0.87   0.00000000

 -0.56  -0.87   0.00000000

 -0.52  -0.87   0.00000000

 -0.49  -0.87   0.00000000

 -0.46  -0.87   0.00000000

 -0.43  -0.87   0.00000000

 -0.40  -0.87   0.00000000

 -0.37  -0.87   0.00000000

 -0.33  -0.87   0.00000000

 -0.30  -0.87   0.00000000

 -0.27  -0.87   0.00000000

 -0.24  -0.87   0.00000000

 -0.21  -0.87   0.00000000

 -0.17  -0.87   0.00000000

 -0.14  -0.87   0.00000000

 -0.11  -0.87   0.00000000

 -0.08  -0.87   0.00000000

 -0.05  -0.87   0.00000000

 -0.02  -0.87   0.00000000

  0.02  -0.87   0.00000000

  0.05  -0.87   0.00000000

  0.08  -0.87   0.00000000

  0.11  -0.87   0.00000000

  0.14  -0.87   0.00000000

  0.17  -0.87   0.00000000

  0.21  -0.87   0.00000000

  0.24  -0.87   0.00000000

  0.27  -0.87   0.00000000

  0.30  -0.87   0.00000000

  0.33  -0.87   0.00000000

  0.37  -0.87   0.00000000

  0.40  -0.87   0.00000000

  0.43  -0.87   0.00000000

  0.46  -0.87   0.00000000

  0.49  -0.87   0.00000000

  0.52  -0.87   0.00000000

  0.56  -0.87   0.00000000

  0.59  -0.87   0.00000000

  0.62  -0.87   0.00000000

  0.65  -0.87   0.00000000

  0.68  -0.87   0.00000000

  0.71  -0.87   0.00000000

  0.75  -0.87   0.00000000

  0.78  -0.87   0.00000000

  0.81  -0.87   0.00000000

  0.84  -0.87   0.00000000

  0.87  -0.87   0.00000000

  0.90  -0.87   0.00000000

  0.94  -0.87   0.00000000

  0.97  -0.87   0.00000000

  1.00  -0.87   0.00000000

 -1.00  -0.84   0.00000000

 -0.97  -0.84   0.00000000

 -0.94  -0.84   0.00000000

 -0.90  -0.84   0.00000000

 -0.87  -0.84   0.00000000

 -0.84  -0.84   0.00000000

 -0.81  -0.84   0.00000000

 -0.78  -0.84   0.00000000

 -0.75  -0.84   0.00000000

 -0.71  -0.84   0.00000000

 -0.68  -0.84   0.00000000

 -0.65  -0.84   0.00000000

 -0.62  -0.84   0.00000000

 -0.59  -0.84   0.00000000

 -0.56  -0.84   0.00000000

 -0.52  -0.84   0.00000000

 -0.49  -0.84   0.00000000

 -0.46  -0.84   0.00000000

 -0.43  -0.84   0.00000000

 -0.40  -0.84   0.00000000

 -0.37  -0.84   0.00000000

 -0.33  -0.84   0.00000000

 -0.30  -0.84   0.00000000

 -0.27  -0.84   0.00000000

 -0.24  -0.84   0.00000000

 -0.21  -0.84   0.00000000

 -0.17  -0.84   0.00000000

 -0.14  -0.84   0.00000000

 -0.11  -0.84   0.00000000

 -0.08  -0.84   0.00000000

 -0.05  -0.84   0.00000000

