    x1     x2    f(x1, x2)
 -1.00  -1.00   0.00000000

 -0.98  -1.00   0.00000000

 -0.96  -1.00   0.00000000

 -0.94  -1.00   0.00000000

 -0.92  -1.00   0.00000000

 -0.90  -1.00   0.00000000

 -0.88  -1.00   0.00000000

 -0.86  -1.00   0.00000000

 -0.84  -1.00   0.00000000

 -0.82  -1.00   0.00000000

 -0.80  -1.00   0.00000000

 -0.78  -1.00   0.00000000

 -0.76  -1.00   0.00000000

 -0.74  -1.00   0.00000000

 -0.72  -1.00   0.00000000

 -0.70  -1.00   0.00000000

 -0.68  -1.00   0.00000000

 -0.66  -1.00   0.00000000

 -0.64  -1.00   0.00000000

 -0.62  -1.00   0.00000000

 -0.60  -1.00   0.00000000

 -0.58  -1.00   0.00000000

 -0.56  -1.00   0.00000000

 -0.54  -1.00   0.00000000

 -0.52  -1.00   0.00000000

 -0.50  -1.00   0.00000000

 -0.49  -1.00   0.00000000

 -0.47  -1.00   0.00000000

 -0.45  -1.00   0.00000000

 -0.43  -1.00   0.00000000

 -0.41  -1.00   0.00000000

 -0.39  -1.00   0.00000000

 -0.37  -1.00   0.00000000

 -0.35  -1.00   0.00000000

 -0.33  -1.00   0.00000000

 -0.31  -1.00   0.00000000

 -0.29  -1.00   0.00000000

 -0.27  -1.00   0.00000000

 -0.25  -1.00   0.00000000

 -0.23  -1.00   0.00000000

 -0.21  -1.00   0.00000000

 -0.19  -1.00   0.00000000

 -0.17  -1.00   0.00000000

 -0.15  -1.00   0.00000000

 -0.13  -1.00   0.00000000

 -0.11  -1.00   0.00000000

 -0.09  -1.00   0.00000000

 -0.07  -1.00   0.00000000

 -0.05  -1.00   0.00000000

 -0.03  -1.00   0.00000000

 -0.01  -1.00   0.00000000

  0.01  -1.00   0.00000000

  0.03  -1.00   0.00000000

  0.05  -1.00   0.00000000

  0.07  -1.00   0.00000000

  0.09  -1.00   0.00000000

  0.11  -1.00   0.00000000

  0.13  -1.00   0.00000000

  0.15  -1.00   0.00000000

  0.17  -1.00   0.00000000

  0.19  -1.00   0.00000000

  0.21  -1.00   0.00000000

  0.23  -1.00   0.00000000

  0.25  -1.00   0.00000000

  0.27  -1.00   0.00000000

  0.29  -1.00   0.00000000

  0.31  -1.00   0.00000000

  0.33  -1.00   0.00000000

  0.35  -1.00   0.00000000

  0.37  -1.00   0.00000000

  0.39  -1.00   0.00000000

  0.41  -1.00   0.00000000

  0.43  -1.00   0.00000000

  0.45  -1.00   0.00000000

  0.47  -1.00   0.00000000

  0.49  -1.00   0.00000000

  0.50  -1.00   0.00000000

  0.52  -1.00   0.00000000

  0.54  -1.00   0.00000000

  0.56  -1.00   0.00000000

  0.58  -1.00   0.00000000

  0.60  -1.00   0.00000000

  0.62  -1.00   0.00000000

  0.64  -1.00   0.00000000

  0.66  -1.00   0.00000000

  0.68  -1.00   0.00000000

  0.70  -1.00   0.00000000

  0.72  -1.00   0.00000000

  0.74  -1.00   0.00000000

  0.76  -1.00   0.00000000

  0.78  -1.00   0.00000000

  0.80  -1.00   0.00000000

  0.82  -1.00   0.00000000

  0.84  -1.00   0.00000000

  0.86  -1.00   0.00000000

  0.88  -1.00   0.00000000

  0.90  -1.00   0.00000000

  0.92  -1.00   0.00000000

  0.94  -1.00   0.00000000

  0.96  -1.00   0.00000000

  0.98  -1.00   0.00000000

 -1.00  -0.98 -63197.58179545

 -0.98  -0.98 -63211.14827576

 -0.96  -0.98 -63219.70939720

 -0.94  -0.98 -63223.22644600

 -0.92  -0.98 -63221.69038257

 -0.90  -0.98 -63215.08654496

 -0.88  -0.98 -63203.48112801

 -0.86  -0.98 -63186.75651544

 -0.84  -0.98 -63164.92544764

 -0.82  -0.98 -63137.99047400

 -0.80  -0.98 -63105.97809253

 -0.78  -0.98 -63068.84837320

 -0.76  -0.98 -63026.71593593

 -0.74  -0.98 -62979.46973923

 -0.72  -0.98 -62926.90003147

 -0.70  -0.98 -62869.10029460

 -0.68  -0.98 -62806.34104714

 -0.66  -0.98 -62738.13349724

 -0.64  -0.98 -62664.63573944

 -0.62  -0.98 -62586.04120110

 -0.60  -0.98 -62501.85376390

 -0.58  -0.98 -62412.46620797

 -0.56  -0.98 -62317.59216792

 -0.54  -0.98 -62217.19870147

 -0.52  -0.98 -62111.28805478

 -0.50  -0.98 -61999.83720079

 -0.49  -0.98 -61882.65431517

 -0.47  -0.98 -61760.10934435

 -0.45  -0.98 -61631.35914371

 -0.43  -0.98 -61496.95612062

 -0.41  -0.98 -61356.77794799

 -0.39  -0.98 -61210.57434100

 -0.37  -0.98 -61058.23100216

 -0.35  -0.98 -60899.79612833

 -0.33  -0.98 -60735.30476081

 -0.31  -0.98 -60564.28981779

 -0.29  -0.98 -60386.87282338

 -0.27  -0.98 -60203.41028954

 -0.25  -0.98 -60012.72452539

 -0.23  -0.98 -59815.61120754

 -0.21  -0.98 -59611.63094371

 -0.19  -0.98 -59400.60007408

 -0.17  -0.98 -59182.71984444

 -0.15  -0.98 -58957.33298564

 -0.13  -0.98 -58724.73448318

 -0.11  -0.98 -58484.56421737

 -0.09  -0.98 -58236.59374313

 -0.07  -0.98 -57981.05586506

 -0.05  -0.98 -57717.03463355

 -0.03  -0.98 -57445.14488300

 -0.01  -0.98 -57164.73181687

  0.01  -0.98 -56875.45649962

  0.03  -0.98 -56577.72229531

  0.05  -0.98 -56270.48272513

  0.07  -0.98 -55953.97114501

  0.09  -0.98 -55627.85884934

  0.11  -0.98 -55292.06246387

  0.13  -0.98 -54945.46865169

  0.15  -0.98 -54588.82298029

  0.17  -0.98 -54221.13167376

  0.19  -0.98 -53842.25539865

  0.21  -0.98 -53451.15221587

  0.23  -0.98 -53048.41958057

  0.25  -0.98 -52632.97437592

  0.27  -0.98 -52204.42632055

  0.29  -0.98 -51762.48453212

  0.31  -0.98 -51305.20052962

  0.33  -0.98 -50833.88530885

  0.35  -0.98 -50346.28315971

  0.37  -0.98 -49842.16905990

  0.39  -0.98 -49321.24309677

  0.41  -0.98 -48779.30269616

  0.43  -0.98 -48217.76223431

  0.45  -0.98 -47634.42179450

  0.47  -0.98 -45391.34835789

  0.49  -0.98 -43118.47516011

  0.50  -0.98 -42550.68028073

  0.52  -0.98 -40269.97087322

  0.54  -0.98 -37964.35332321

  0.56  -0.98 -35633.70289784

  0.58  -0.98 -35121.79373620

  0.60  -0.98 -32800.84391124

  0.62  -0.98 -32298.99856252

  0.64  -0.98 -29994.43609541

  0.66  -0.98 -27675.72116290

  0.68  -0.98 -27224.83589144

  0.70  -0.98 -24934.34677097

  0.72  -0.98 -24502.50449779

  0.74  -0.98 -22245.28102886

  0.76  -0.98 -19982.87775735

  0.78  -0.98 -19618.60611383

  0.80  -0.98 -17398.72219335

  0.82  -0.98 -17062.28432457

  0.84  -0.98 -14889.97166989

  0.86  -0.98 -14584.79899748

  0.88  -0.98 -12464.32643399

  0.90  -0.98 -12193.45318717

  0.92  -0.98 -10128.48420871

  0.94  -0.98 -9894.91218960

  0.96  -0.98 -7888.61203583

  0.98  -0.98 -7695.27110332

 -1.00  -0.96 -84573.28087458

 -0.98  -0.96 -84613.34923436

 -0.96  -0.96 -84646.28747954

 -0.94  -0.96 -84672.14735852

 -0.92  -0.96 -84690.92920800

 -0.90  -0.96 -84702.74116622

 -0.88  -0.96 -84707.39573524

 -0.86  -0.96 -84704.97378543

 -0.84  -0.96 -84695.39103350

 -0.82  -0.96 -84678.76016428

 -0.80  -0.96 -84655.07684375

 -0.78  -0.96 -84624.32790630

 -0.76  -0.96 -84586.65936818

 -0.74  -0.96 -84541.82783677

 -0.72  -0.96 -84489.75162044

 -0.70  -0.96 -84430.46553960

 -0.68  -0.96 -84364.25003433

 -0.66  -0.96 -84290.61422235

 -0.64  -0.96 -84209.75005767

 -0.62  -0.96 -84121.73145626

 -0.60  -0.96 -84026.24056449

 -0.58  -0.96 -83923.47294893

 -0.56  -0.96 -83813.14952107

 -0.54  -0.96 -83695.48774618

 -0.52  -0.96 -83570.15365454

 -0.50  -0.96 -83437.45941114

 -0.49  -0.96 -83296.97363831

 -0.47  -0.96 -83149.01270488

 -0.45  -0.96 -82992.84965603

 -0.43  -0.96 -82828.60836029

 -0.41  -0.96 -82656.76465303

 -0.39  -0.96 -82477.06866047

 -0.37  -0.96 -82288.58406961

 -0.35  -0.96 -82092.05130541

 -0.33  -0.96 -81887.56244599

 -0.31  -0.96 -81674.12822196

 -0.29  -0.96 -81451.97124010

 -0.27  -0.96 -81221.46130427

 -0.25  -0.96 -80981.55975948

 -0.23  -0.96 -80733.25393503

 -0.21  -0.96 -80475.14161464

 -0.19  -0.96 -80208.06912255

 -0.17  -0.96 -79931.27870102

 -0.15  -0.96 -79645.01275025

 -0.13  -0.96 -79348.46849145

 -0.11  -0.96 -79042.34392705

 -0.09  -0.96 -78725.42010504

 -0.07  -0.96 -78398.25642950

 -0.05  -0.96 -78060.13321414

 -0.03  -0.96 -77711.21413264

 -0.01  -0.96 -77351.11372848

  0.01  -0.96 -76978.96337752

  0.03  -0.96 -76595.48653998

  0.05  -0.96 -76199.59826799

  0.07  -0.96 -75791.19016946

  0.09  -0.96 -75369.86100450

  0.11  -0.96 -74935.28515672

  0.13  -0.96 -74487.67139472

  0.15  -0.96 -74024.59827328

  0.17  -0.96 -73548.20869547

  0.19  -0.96 -73055.49733930

  0.21  -0.96 -72548.66978344

  0.23  -0.96 -72023.72409039

  0.25  -0.96 -71483.28098177

  0.27  -0.96 -70923.65497468

  0.29  -0.96 -70346.89184940

  0.31  -0.96 -69749.61336167

  0.33  -0.96 -69132.08077556

  0.35  -0.96 -68492.62892335

  0.37  -0.96 -67827.78086078

  0.39  -0.96 -65632.48096421

  0.41  -0.96 -63401.01398980

  0.43  -0.96 -61134.06184080

  0.45  -0.96 -60470.17123370

  0.47  -0.96 -58182.56209869

  0.49  -0.96 -55862.75585298

  0.50  -0.96 -53514.39365225

  0.52  -0.96 -52873.47786910

  0.54  -0.96 -50516.70250482

  0.56  -0.96 -48137.30316003

  0.58  -0.96 -45735.25074932

  0.60  -0.96 -45142.02994715

  0.62  -0.96 -42749.41904185

  0.64  -0.96 -40339.61063156

  0.66  -0.96 -39785.22219030

  0.68  -0.96 -37396.43034709

  0.70  -0.96 -36853.77583386

  0.72  -0.96 -34490.89150245

  0.74  -0.96 -32121.25198026

  0.76  -0.96 -31633.54805727

  0.78  -0.96 -29300.20445268

  0.80  -0.96 -28832.30456604

  0.82  -0.96 -26540.32144355

  0.84  -0.96 -26095.41347092

  0.86  -0.96 -23848.42198065

  0.88  -0.96 -21603.24491954

  0.90  -0.96 -21231.32182706

  0.92  -0.96 -19036.74113979

  0.94  -0.96 -18694.42320297

  0.96  -0.96 -16552.81153975

  0.98  -0.96 -16242.16938099

 -1.00  -0.94 -98784.43541097

 -0.98  -0.94 -98857.60316524

 -0.96  -0.94 -98922.07396536

 -0.94  -0.94 -98977.92703278

 -0.92  -0.94 -99025.00383847

 -0.90  -0.94 -99063.26989765

 -0.88  -0.94 -99092.91866939

 -0.86  -0.94 -99114.03487288

 -0.84  -0.94 -99126.48747616

 -0.82  -0.94 -99130.31818620

 -0.80  -0.94 -99125.43936835

 -0.78  -0.94 -99111.86915440

 -0.76  -0.94 -99090.01335450

 -0.74  -0.94 -99059.47602520

 -0.72  -0.94 -99020.27318382

 -0.70  -0.94 -98972.48943939

 -0.68  -0.94 -98916.24169404

 -0.66  -0.94 -98851.17810159

 -0.64  -0.94 -98777.48672268

 -0.62  -0.94 -98695.02324227

 -0.60  -0.94 -98603.74363961

 -0.58  -0.94 -98503.72029875

 -0.56  -0.94 -98394.71072197

